File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,Zipped File Size (BWT Text),Compression Ratio (BWT Text)
Output0.zip,1000,765,1.307189542,OutputBWT0.zip,1000,772,1.295336788
Output1.zip,1000,768,1.302083333,OutputBWT1.zip,1000,772,1.295336788
Output10.zip,1000,767,1.303780965,OutputBWT10.zip,1000,772,1.295336788
Output11.zip,1000,768,1.302083333,OutputBWT11.zip,1000,774,1.291989664
Output12.zip,1000,769,1.300390117,OutputBWT12.zip,1000,773,1.293661061
Output13.zip,1000,765,1.307189542,OutputBWT13.zip,1000,773,1.293661061
Output14.zip,1000,770,1.298701299,OutputBWT14.zip,1000,776,1.288659794
Output15.zip,1000,767,1.303780965,OutputBWT15.zip,1000,775,1.290322581
Output16.zip,1000,768,1.302083333,OutputBWT16.zip,1000,775,1.290322581
Output17.zip,1000,770,1.298701299,OutputBWT17.zip,1000,777,1.287001287
Output18.zip,1000,768,1.302083333,OutputBWT18.zip,1000,776,1.288659794
Output19.zip,1000,769,1.300390117,OutputBWT19.zip,1000,773,1.293661061
Output2.zip,1000,766,1.305483029,OutputBWT2.zip,1000,772,1.295336788
Output20.zip,1000,768,1.302083333,OutputBWT20.zip,1000,774,1.291989664
Output21.zip,1000,767,1.303780965,OutputBWT21.zip,1000,775,1.290322581
Output22.zip,1000,765,1.307189542,OutputBWT22.zip,1000,776,1.288659794
Output23.zip,1000,767,1.303780965,OutputBWT23.zip,1000,776,1.288659794
Output24.zip,1000,770,1.298701299,OutputBWT24.zip,1000,771,1.297016861
Output25.zip,1000,769,1.300390117,OutputBWT25.zip,1000,775,1.290322581
Output26.zip,1000,769,1.300390117,OutputBWT26.zip,1000,776,1.288659794
Output27.zip,1000,768,1.302083333,OutputBWT27.zip,1000,773,1.293661061
Output28.zip,1000,766,1.305483029,OutputBWT28.zip,1000,773,1.293661061
Output29.zip,1000,767,1.303780965,OutputBWT29.zip,1000,774,1.291989664
Output3.zip,1000,766,1.305483029,OutputBWT3.zip,1000,771,1.297016861
Output30.zip,1000,770,1.298701299,OutputBWT30.zip,1000,775,1.290322581
Output31.zip,1000,766,1.305483029,OutputBWT31.zip,1000,774,1.291989664
Output32.zip,1000,770,1.298701299,OutputBWT32.zip,1000,776,1.288659794
Output33.zip,1000,769,1.300390117,OutputBWT33.zip,1000,775,1.290322581
Output34.zip,1000,768,1.302083333,OutputBWT34.zip,1000,774,1.291989664
Output35.zip,1000,771,1.297016861,OutputBWT35.zip,1000,778,1.285347044
Output36.zip,1000,769,1.300390117,OutputBWT36.zip,1000,775,1.290322581
Output37.zip,1000,769,1.300390117,OutputBWT37.zip,1000,774,1.291989664
Output38.zip,1000,768,1.302083333,OutputBWT38.zip,1000,777,1.287001287
Output39.zip,1000,771,1.297016861,OutputBWT39.zip,1000,775,1.290322581
Output4.zip,1000,766,1.305483029,OutputBWT4.zip,1000,769,1.300390117
Output40.zip,1000,769,1.300390117,OutputBWT40.zip,1000,776,1.288659794
Output41.zip,1000,767,1.303780965,OutputBWT41.zip,1000,774,1.291989664
Output42.zip,1000,766,1.305483029,OutputBWT42.zip,1000,776,1.288659794
Output43.zip,1000,767,1.303780965,OutputBWT43.zip,1000,773,1.293661061
Output44.zip,1000,770,1.298701299,OutputBWT44.zip,1000,775,1.290322581
Output45.zip,1000,770,1.298701299,OutputBWT45.zip,1000,774,1.291989664
Output46.zip,1000,768,1.302083333,OutputBWT46.zip,1000,773,1.293661061
Output47.zip,1000,768,1.302083333,OutputBWT47.zip,1000,775,1.290322581
Output48.zip,1000,770,1.298701299,OutputBWT48.zip,1000,773,1.293661061
Output49.zip,1000,765,1.307189542,OutputBWT49.zip,1000,773,1.293661061
Output5.zip,1000,768,1.302083333,OutputBWT5.zip,1000,771,1.297016861
Output50.zip,1000,769,1.300390117,OutputBWT50.zip,1000,775,1.290322581
Output51.zip,1000,768,1.302083333,OutputBWT51.zip,1000,773,1.293661061
Output52.zip,1000,770,1.298701299,OutputBWT52.zip,1000,775,1.290322581
Output53.zip,1000,766,1.305483029,OutputBWT53.zip,1000,774,1.291989664
Output54.zip,1000,769,1.300390117,OutputBWT54.zip,1000,773,1.293661061
Output55.zip,1000,769,1.300390117,OutputBWT55.zip,1000,775,1.290322581
Output56.zip,1000,770,1.298701299,OutputBWT56.zip,1000,772,1.295336788
Output57.zip,1000,769,1.300390117,OutputBWT57.zip,1000,774,1.291989664
Output58.zip,1000,768,1.302083333,OutputBWT58.zip,1000,774,1.291989664
Output59.zip,1000,769,1.300390117,OutputBWT59.zip,1000,775,1.290322581
Output6.zip,1000,766,1.305483029,OutputBWT6.zip,1000,772,1.295336788
Output60.zip,1000,770,1.298701299,OutputBWT60.zip,1000,773,1.293661061
Output61.zip,1000,768,1.302083333,OutputBWT61.zip,1000,773,1.293661061
Output62.zip,1000,769,1.300390117,OutputBWT62.zip,1000,773,1.293661061
Output63.zip,1000,771,1.297016861,OutputBWT63.zip,1000,773,1.293661061
Output64.zip,1000,768,1.302083333,OutputBWT64.zip,1000,774,1.291989664
Output65.zip,1000,767,1.303780965,OutputBWT65.zip,1000,771,1.297016861
Output66.zip,1000,771,1.297016861,OutputBWT66.zip,1000,772,1.295336788
Output67.zip,1000,770,1.298701299,OutputBWT67.zip,1000,774,1.291989664
Output68.zip,1000,768,1.302083333,OutputBWT68.zip,1000,774,1.291989664
Output69.zip,1000,769,1.300390117,OutputBWT69.zip,1000,774,1.291989664
Output7.zip,1000,765,1.307189542,OutputBWT7.zip,1000,770,1.298701299
Output70.zip,1000,771,1.297016861,OutputBWT70.zip,1000,775,1.290322581
Output71.zip,1000,768,1.302083333,OutputBWT71.zip,1000,776,1.288659794
Output72.zip,1000,767,1.303780965,OutputBWT72.zip,1000,773,1.293661061
Output73.zip,1000,768,1.302083333,OutputBWT73.zip,1000,776,1.288659794
Output74.zip,1000,767,1.303780965,OutputBWT74.zip,1000,772,1.295336788
Output75.zip,1000,767,1.303780965,OutputBWT75.zip,1000,772,1.295336788
Output76.zip,1000,769,1.300390117,OutputBWT76.zip,1000,773,1.293661061
Output77.zip,1000,766,1.305483029,OutputBWT77.zip,1000,776,1.288659794
Output78.zip,1000,768,1.302083333,OutputBWT78.zip,1000,773,1.293661061
Output79.zip,1000,768,1.302083333,OutputBWT79.zip,1000,776,1.288659794
Output8.zip,1000,768,1.302083333,OutputBWT8.zip,1000,770,1.298701299
Output80.zip,1000,770,1.298701299,OutputBWT80.zip,1000,776,1.288659794
Output81.zip,1000,764,1.308900524,OutputBWT81.zip,1000,772,1.295336788
Output82.zip,1000,768,1.302083333,OutputBWT82.zip,1000,774,1.291989664
Output83.zip,1000,768,1.302083333,OutputBWT83.zip,1000,772,1.295336788
Output84.zip,1000,771,1.297016861,OutputBWT84.zip,1000,774,1.291989664
Output85.zip,1000,769,1.300390117,OutputBWT85.zip,1000,775,1.290322581
Output86.zip,1000,770,1.298701299,OutputBWT86.zip,1000,774,1.291989664
Output87.zip,1000,768,1.302083333,OutputBWT87.zip,1000,776,1.288659794
Output88.zip,1000,768,1.302083333,OutputBWT88.zip,1000,776,1.288659794
Output89.zip,1000,768,1.302083333,OutputBWT89.zip,1000,776,1.288659794
Output9.zip,1000,766,1.305483029,OutputBWT9.zip,1000,773,1.293661061
Output90.zip,1000,766,1.305483029,OutputBWT90.zip,1000,773,1.293661061
Output91.zip,1000,768,1.302083333,OutputBWT91.zip,1000,773,1.293661061
Output92.zip,1000,768,1.302083333,OutputBWT92.zip,1000,776,1.288659794
Output93.zip,1000,770,1.298701299,OutputBWT93.zip,1000,773,1.293661061
Output94.zip,1000,773,1.293661061,OutputBWT94.zip,1000,775,1.290322581
Output95.zip,1000,768,1.302083333,OutputBWT95.zip,1000,771,1.297016861
Output96.zip,1000,767,1.303780965,OutputBWT96.zip,1000,774,1.291989664
Output97.zip,1000,770,1.298701299,OutputBWT97.zip,1000,777,1.287001287
Output98.zip,1000,768,1.302083333,OutputBWT98.zip,1000,773,1.293661061
Output99.zip,1000,768,1.302083333,OutputBWT99.zip,1000,773,1.293661061
,2000,1374,1.455604076,,2000,1375,1.454545455
,2000,1377,1.452432825,,2000,1380,1.449275362
,2000,1373,1.456664239,,2000,1381,1.448225923
,2000,1376,1.453488372,,2000,1380,1.449275362
,2000,1375,1.454545455,,2000,1376,1.453488372
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1373,1.456664239,,2000,1382,1.447178003
,2000,1375,1.454545455,,2000,1381,1.448225923
,2000,1378,1.45137881,,2000,1380,1.449275362
,2000,1375,1.454545455,,2000,1382,1.447178003
,2000,1372,1.457725948,,2000,1380,1.449275362
,2000,1375,1.454545455,,2000,1376,1.453488372
,2000,1371,1.458789205,,2000,1378,1.45137881
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1375,1.454545455,,2000,1380,1.449275362
,2000,1373,1.456664239,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1384,1.445086705
,2000,1374,1.455604076,,2000,1385,1.444043321
,2000,1374,1.455604076,,2000,1380,1.449275362
,2000,1370,1.459854015,,2000,1378,1.45137881
,2000,1373,1.456664239,,2000,1380,1.449275362
,2000,1378,1.45137881,,2000,1383,1.446131598
,2000,1375,1.454545455,,2000,1378,1.45137881
,2000,1376,1.453488372,,2000,1381,1.448225923
,2000,1375,1.454545455,,2000,1382,1.447178003
,2000,1377,1.452432825,,2000,1381,1.448225923
,2000,1376,1.453488372,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1379,1.450326323
,2000,1372,1.457725948,,2000,1380,1.449275362
,2000,1373,1.456664239,,2000,1377,1.452432825
,2000,1374,1.455604076,,2000,1379,1.450326323
,2000,1375,1.454545455,,2000,1382,1.447178003
,2000,1377,1.452432825,,2000,1383,1.446131598
,2000,1371,1.458789205,,2000,1383,1.446131598
,2000,1375,1.454545455,,2000,1381,1.448225923
,2000,1373,1.456664239,,2000,1380,1.449275362
,2000,1371,1.458789205,,2000,1379,1.450326323
,2000,1372,1.457725948,,2000,1379,1.450326323
,2000,1373,1.456664239,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1378,1.45137881
,2000,1377,1.452432825,,2000,1379,1.450326323
,2000,1377,1.452432825,,2000,1379,1.450326323
,2000,1372,1.457725948,,2000,1382,1.447178003
,2000,1375,1.454545455,,2000,1383,1.446131598
,2000,1376,1.453488372,,2000,1377,1.452432825
,2000,1370,1.459854015,,2000,1379,1.450326323
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1379,1.450326323,,2000,1380,1.449275362
,2000,1374,1.455604076,,2000,1382,1.447178003
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1373,1.456664239,,2000,1384,1.445086705
,2000,1371,1.458789205,,2000,1376,1.453488372
,2000,1373,1.456664239,,2000,1376,1.453488372
,2000,1376,1.453488372,,2000,1381,1.448225923
,2000,1373,1.456664239,,2000,1381,1.448225923
,2000,1372,1.457725948,,2000,1379,1.450326323
,2000,1369,1.46092038,,2000,1379,1.450326323
,2000,1371,1.458789205,,2000,1381,1.448225923
,2000,1375,1.454545455,,2000,1377,1.452432825
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1373,1.456664239,,2000,1382,1.447178003
,2000,1374,1.455604076,,2000,1380,1.449275362
,2000,1373,1.456664239,,2000,1382,1.447178003
,2000,1378,1.45137881,,2000,1382,1.447178003
,2000,1377,1.452432825,,2000,1380,1.449275362
,2000,1370,1.459854015,,2000,1383,1.446131598
,2000,1373,1.456664239,,2000,1382,1.447178003
,2000,1372,1.457725948,,2000,1381,1.448225923
,2000,1375,1.454545455,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1385,1.444043321
,2000,1374,1.455604076,,2000,1382,1.447178003
,2000,1372,1.457725948,,2000,1381,1.448225923
,2000,1375,1.454545455,,2000,1381,1.448225923
,2000,1377,1.452432825,,2000,1382,1.447178003
,2000,1375,1.454545455,,2000,1379,1.450326323
,2000,1375,1.454545455,,2000,1383,1.446131598
,2000,1376,1.453488372,,2000,1383,1.446131598
,2000,1371,1.458789205,,2000,1379,1.450326323
,2000,1378,1.45137881,,2000,1380,1.449275362
,2000,1374,1.455604076,,2000,1375,1.454545455
,2000,1375,1.454545455,,2000,1377,1.452432825
,2000,1376,1.453488372,,2000,1379,1.450326323
,2000,1372,1.457725948,,2000,1381,1.448225923
,2000,1366,1.464128843,,2000,1377,1.452432825
,2000,1377,1.452432825,,2000,1380,1.449275362
,2000,1378,1.45137881,,2000,1384,1.445086705
,2000,1375,1.454545455,,2000,1377,1.452432825
,2000,1374,1.455604076,,2000,1376,1.453488372
