File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),,File Size,Zipped BWT File Size,Compression Ratio (BWT Text)
Output0.zip,1000,627,1.594896332,OutputBWT0.zip,1000,635,1.57480315
Output1.zip,1000,626,1.597444089,OutputBWT1.zip,1000,636,1.572327044
Output10.zip,1000,633,1.579778831,OutputBWT10.zip,1000,636,1.572327044
Output11.zip,1000,626,1.597444089,OutputBWT11.zip,1000,637,1.569858713
Output12.zip,1000,630,1.587301587,OutputBWT12.zip,1000,639,1.564945227
Output13.zip,1000,630,1.587301587,OutputBWT13.zip,1000,636,1.572327044
Output14.zip,1000,630,1.587301587,OutputBWT14.zip,1000,634,1.577287066
Output15.zip,1000,639,1.564945227,OutputBWT15.zip,1000,643,1.555209953
Output16.zip,1000,632,1.582278481,OutputBWT16.zip,1000,637,1.569858713
Output17.zip,1000,631,1.584786054,OutputBWT17.zip,1000,631,1.584786054
Output18.zip,1000,628,1.592356688,OutputBWT18.zip,1000,638,1.567398119
Output19.zip,1000,631,1.584786054,OutputBWT19.zip,1000,633,1.579778831
Output2.zip,1000,628,1.592356688,OutputBWT2.zip,1000,632,1.582278481
Output20.zip,1000,631,1.584786054,OutputBWT20.zip,1000,638,1.567398119
Output21.zip,1000,630,1.587301587,OutputBWT21.zip,1000,641,1.560062402
Output22.zip,1000,633,1.579778831,OutputBWT22.zip,1000,636,1.572327044
Output23.zip,1000,629,1.589825119,OutputBWT23.zip,1000,639,1.564945227
Output24.zip,1000,635,1.57480315,OutputBWT24.zip,1000,639,1.564945227
Output25.zip,1000,630,1.587301587,OutputBWT25.zip,1000,636,1.572327044
Output26.zip,1000,634,1.577287066,OutputBWT26.zip,1000,639,1.564945227
Output27.zip,1000,632,1.582278481,OutputBWT27.zip,1000,638,1.567398119
Output28.zip,1000,629,1.589825119,OutputBWT28.zip,1000,635,1.57480315
Output29.zip,1000,631,1.584786054,OutputBWT29.zip,1000,637,1.569858713
Output3.zip,1000,624,1.602564103,OutputBWT3.zip,1000,636,1.572327044
Output30.zip,1000,631,1.584786054,OutputBWT30.zip,1000,638,1.567398119
Output31.zip,1000,623,1.605136437,OutputBWT31.zip,1000,636,1.572327044
Output32.zip,1000,634,1.577287066,OutputBWT32.zip,1000,636,1.572327044
Output33.zip,1000,631,1.584786054,OutputBWT33.zip,1000,642,1.557632399
Output34.zip,1000,632,1.582278481,OutputBWT34.zip,1000,639,1.564945227
Output35.zip,1000,633,1.579778831,OutputBWT35.zip,1000,634,1.577287066
Output36.zip,1000,628,1.592356688,OutputBWT36.zip,1000,639,1.564945227
Output37.zip,1000,625,1.6,OutputBWT37.zip,1000,631,1.584786054
Output38.zip,1000,633,1.579778831,OutputBWT38.zip,1000,631,1.584786054
Output39.zip,1000,630,1.587301587,OutputBWT39.zip,1000,635,1.57480315
Output4.zip,1000,631,1.584786054,OutputBWT4.zip,1000,633,1.579778831
Output40.zip,1000,629,1.589825119,OutputBWT40.zip,1000,639,1.564945227
Output41.zip,1000,631,1.584786054,OutputBWT41.zip,1000,631,1.584786054
Output42.zip,1000,631,1.584786054,OutputBWT42.zip,1000,635,1.57480315
Output43.zip,1000,621,1.610305958,OutputBWT43.zip,1000,644,1.552795031
Output44.zip,1000,632,1.582278481,OutputBWT44.zip,1000,637,1.569858713
Output45.zip,1000,630,1.587301587,OutputBWT45.zip,1000,639,1.564945227
Output46.zip,1000,635,1.57480315,OutputBWT46.zip,1000,637,1.569858713
Output47.zip,1000,629,1.589825119,OutputBWT47.zip,1000,633,1.579778831
Output48.zip,1000,628,1.592356688,OutputBWT48.zip,1000,640,1.5625
Output49.zip,1000,632,1.582278481,OutputBWT49.zip,1000,631,1.584786054
Output5.zip,1000,629,1.589825119,OutputBWT5.zip,1000,634,1.577287066
Output50.zip,1000,631,1.584786054,OutputBWT50.zip,1000,637,1.569858713
Output51.zip,1000,630,1.587301587,OutputBWT51.zip,1000,639,1.564945227
Output52.zip,1000,632,1.582278481,OutputBWT52.zip,1000,634,1.577287066
Output53.zip,1000,627,1.594896332,OutputBWT53.zip,1000,631,1.584786054
Output54.zip,1000,629,1.589825119,OutputBWT54.zip,1000,638,1.567398119
Output55.zip,1000,630,1.587301587,OutputBWT55.zip,1000,639,1.564945227
Output56.zip,1000,633,1.579778831,OutputBWT56.zip,1000,634,1.577287066
Output57.zip,1000,632,1.582278481,OutputBWT57.zip,1000,636,1.572327044
Output58.zip,1000,628,1.592356688,OutputBWT58.zip,1000,632,1.582278481
Output59.zip,1000,629,1.589825119,OutputBWT59.zip,1000,637,1.569858713
Output6.zip,1000,625,1.6,OutputBWT6.zip,1000,635,1.57480315
Output60.zip,1000,632,1.582278481,OutputBWT60.zip,1000,638,1.567398119
Output61.zip,1000,627,1.594896332,OutputBWT61.zip,1000,638,1.567398119
Output62.zip,1000,628,1.592356688,OutputBWT62.zip,1000,635,1.57480315
Output63.zip,1000,630,1.587301587,OutputBWT63.zip,1000,633,1.579778831
Output64.zip,1000,628,1.592356688,OutputBWT64.zip,1000,634,1.577287066
Output65.zip,1000,631,1.584786054,OutputBWT65.zip,1000,628,1.592356688
Output66.zip,1000,631,1.584786054,OutputBWT66.zip,1000,637,1.569858713
Output67.zip,1000,626,1.597444089,OutputBWT67.zip,1000,633,1.579778831
Output68.zip,1000,632,1.582278481,OutputBWT68.zip,1000,638,1.567398119
Output69.zip,1000,631,1.584786054,OutputBWT69.zip,1000,639,1.564945227
Output7.zip,1000,629,1.589825119,OutputBWT7.zip,1000,631,1.584786054
Output70.zip,1000,633,1.579778831,OutputBWT70.zip,1000,640,1.5625
Output71.zip,1000,628,1.592356688,OutputBWT71.zip,1000,642,1.557632399
Output72.zip,1000,631,1.584786054,OutputBWT72.zip,1000,642,1.557632399
Output73.zip,1000,627,1.594896332,OutputBWT73.zip,1000,640,1.5625
Output74.zip,1000,627,1.594896332,OutputBWT74.zip,1000,641,1.560062402
Output75.zip,1000,631,1.584786054,OutputBWT75.zip,1000,635,1.57480315
Output76.zip,1000,633,1.579778831,OutputBWT76.zip,1000,637,1.569858713
Output77.zip,1000,631,1.584786054,OutputBWT77.zip,1000,639,1.564945227
Output78.zip,1000,631,1.584786054,OutputBWT78.zip,1000,641,1.560062402
Output79.zip,1000,630,1.587301587,OutputBWT79.zip,1000,634,1.577287066
Output8.zip,1000,632,1.582278481,OutputBWT8.zip,1000,637,1.569858713
Output80.zip,1000,630,1.587301587,OutputBWT80.zip,1000,636,1.572327044
Output81.zip,1000,630,1.587301587,OutputBWT81.zip,1000,634,1.577287066
Output82.zip,1000,626,1.597444089,OutputBWT82.zip,1000,635,1.57480315
Output83.zip,1000,634,1.577287066,OutputBWT83.zip,1000,636,1.572327044
Output84.zip,1000,632,1.582278481,OutputBWT84.zip,1000,637,1.569858713
Output85.zip,1000,631,1.584786054,OutputBWT85.zip,1000,635,1.57480315
Output86.zip,1000,633,1.579778831,OutputBWT86.zip,1000,636,1.572327044
Output87.zip,1000,632,1.582278481,OutputBWT87.zip,1000,640,1.5625
Output88.zip,1000,624,1.602564103,OutputBWT88.zip,1000,636,1.572327044
Output89.zip,1000,634,1.577287066,OutputBWT89.zip,1000,637,1.569858713
Output9.zip,1000,626,1.597444089,OutputBWT9.zip,1000,637,1.569858713
Output90.zip,1000,634,1.577287066,OutputBWT90.zip,1000,636,1.572327044
Output91.zip,1000,630,1.587301587,OutputBWT91.zip,1000,635,1.57480315
Output92.zip,1000,629,1.589825119,OutputBWT92.zip,1000,640,1.5625
Output93.zip,1000,635,1.57480315,OutputBWT93.zip,1000,637,1.569858713
Output94.zip,1000,631,1.584786054,OutputBWT94.zip,1000,637,1.569858713
Output95.zip,1000,627,1.594896332,OutputBWT95.zip,1000,637,1.569858713
Output96.zip,1000,629,1.589825119,OutputBWT96.zip,1000,641,1.560062402
Output97.zip,1000,626,1.597444089,OutputBWT97.zip,1000,633,1.579778831
Output98.zip,1000,627,1.594896332,OutputBWT98.zip,1000,636,1.572327044
Output99.zip,1000,632,1.582278481,OutputBWT99.zip,1000,633,1.579778831
,2000,1098,1.821493625,,2000,1096,1.824817518
,2000,1093,1.829826167,,2000,1104,1.811594203
,2000,1101,1.816530427,,2000,1107,1.806684734
,2000,1101,1.816530427,,2000,1102,1.814882033
,2000,1096,1.824817518,,2000,1098,1.821493625
,2000,1093,1.829826167,,2000,1097,1.823154057
,2000,1093,1.829826167,,2000,1102,1.814882033
,2000,1099,1.819836215,,2000,1101,1.816530427
,2000,1094,1.828153565,,2000,1107,1.806684734
,2000,1105,1.809954751,,2000,1100,1.818181818
,2000,1098,1.821493625,,2000,1097,1.823154057
,2000,1093,1.829826167,,2000,1105,1.809954751
,2000,1093,1.829826167,,2000,1101,1.816530427
,2000,1090,1.834862385,,2000,1111,1.800180018
,2000,1089,1.836547291,,2000,1103,1.813236627
